actual,proposed
0.0677979439496994,0.0
0.07433285564184189,0.0
0.0764719769358635,0.0
0.08735580742359161,0.05226545035839081
0.10250319540500641,0.05475272238254547
0.1087823435664177,0.05702710151672363
0.11068019270896912,0.058910127729177475
0.12133555859327316,0.06099638342857361
0.12319118529558182,0.06275485455989838
0.1294489949941635,0.06451677531003952
0.13568836450576782,0.06628845632076263
0.1331927627325058,0.06758695840835571
0.13080254197120667,0.06855244189500809
0.1328723132610321,0.06951926648616791
0.13933855295181274,0.07071895152330399
0.13706238567829132,0.07161937654018402
0.1305254101753235,0.07206469029188156
0.1179099753499031,0.07220686227083206
0.11181861162185669,0.07176316529512405
0.10586366802453995,0.07134760171175003
0.09568043053150177,0.07060640305280685
0.08132421970367432,0.06939176470041275
0.06720569729804993,0.06781696528196335
0.05767383426427841,0.06623492389917374
0.04394052177667618,0.06440288573503494
0.03041752427816391,0.06238902732729912
0.017096206545829773,0.060234203934669495
0.0,0.05797882378101349
0.0,0.056125104427337646
0.0,0.05407716706395149
